UFNUMB,Genus,Species,Subspecies,Weight,Country,State,County,Group,Locale,Date Collected (Day),Date Collected (Month),Date Collected (Year),Sex,Gonads,Age,Fat,Remarks,Wing_ch,Tail,Ex_culm,Soft Parts
52056,COEREBA,FLAVEOLA,BANANIVORA,7.3,DOMINICAN REPUBLIC,PROV. BARAHONA,,Island,PARQUE NACIONAL MARTIN GARCIA,27,5,2017,M,"TESTES PINK, 1 X 1 MM",BURSA 3 X 3 MM; SKULL 0% OSS.,TRACE FAT,,55.0,35.0,12.529999733,IRIS  BROWN; BILL BLACK; TARSI & TOES BLACK
8045,COEREBA,FLAVEOLA,BANANIVORA,,HAITI,ILE DE LA GONAVE,,Island,NAN CAFE,26,3,1959,M,TE 6 X 4 MM,,,,,,,
21048,COEREBA,FLAVEOLA,BANANIVORA,7.5,HAITI,SUD,,Island,PAILLANT,5,1,1974,M,,,,,,,,
10223,COEREBA,FLAVEOLA,BARBADENSIS,,BARBADOS,,,Island,"ST. MICHAEL, BARBADOS MUSEUM GARDEN",21,2,1963,M,,,,,,,,
10224,COEREBA,FLAVEOLA,BARBADENSIS,,BARBADOS,,,Island,"ST. MICHAEL, BARBADOS MUSEUM GARDEN",21,2,1963,M,,,,,,,,
10225,COEREBA,FLAVEOLA,BARBADENSIS,,BARBADOS,,,Island,"ST. MICHAEL, BARBADOS MUSEUM GARDEN",21,2,1963,M,,,,,,,,
10251,COEREBA,FLAVEOLA,BARBADENSIS,,BARBADOS,,,Island,"ST. MICHAEL, BARBADOS MUSEUM GARDEN",21,2,1963,F,,,,,,,,
10193,COEREBA,FLAVEOLA,BARTHOMELICA,,DUTCH WEST INDIES,ST. EUSTATIUS,,Island,N/A,8,3,1963,M,TESTIS 1.5 X 1 MM,,,,,,,
9223,COEREBA,FLAVEOLA,CABOTI,,MEXICO,QUINTANA ROO,,Island,COZUMEL,,,,U,,,,,,,,
9224,COEREBA,FLAVEOLA,CABOTI,,MEXICO,QUINTANA ROO,,Island,COZUMEL,,,,U,,,,,,,,
9225,COEREBA,FLAVEOLA,CABOTI,,MEXICO,QUINTANA ROO,,Island,COZUMEL,,,,U,,,,,,,,
9226,COEREBA,FLAVEOLA,CABOTI,,MEXICO,QUINTANA ROO,,Island,COZUMEL,,,,U,,,,,,,,
36118,COEREBA,FLAVEOLA,CAUCAE,,COLOMBIA,VALLE DEL CAUCA,,Mainland,"CALI, NEAR",1,10,1966,M,,,,,,,,IRIS BLACK
36119,COEREBA,FLAVEOLA,CAUCAE,,COLOMBIA,VALLE DEL CAUCA,,Mainland,"CALI, NEAR",4,10,1966,F,,,,,,,,IRIS BLACK
11225,COEREBA,FLAVEOLA,FLAVEOLA,,JAMAICA,ST. JAMES PARISH,,Island,MONTEGO BAY,,8,1965,M,,,,,,,,
18148,COEREBA,FLAVEOLA,FLAVEOLA,7.7,JAMAICA,ST. CATHERINE PARISH,,Island,WORTHY PARK,20,6,1970,U,,,,,,,,
36116,COEREBA,FLAVEOLA,FLAVEOLA,,JAMAICA,ST. ANDREW PARISH,,Island,KINGSTON,25,2,1975,M,,,,,,,,
9229,COEREBA,FLAVEOLA,LUTEOLA,,COLOMBIA,BOLIVAR,,Mainland,"CARTAGENA [PRESUMABLY: TAG READS ""GRANADA, CARTHAGENA""]",,,,U,,,,,,,,
36120,COEREBA,FLAVEOLA,LUTEOLA,,COLOMBIA,GUAJIRA,,Mainland,NAZARETH,10,1,1968,F,,,,,,,,IRIS BLACK
36121,COEREBA,FLAVEOLA,LUTEOLA,,COLOMBIA,GUAJIRA,,Mainland,NAZARETH,10,1,1968,M,,,,,,,,IRIS BLACK
10819,COEREBA,FLAVEOLA,LUTEOLA,,TRINIDAD & TOBAGO,TRINIDAD,SAINT GEORGE CO.,Island,ARIMA VALLEY,13,10,1964,F,,,,,,,,
42586,COEREBA,FLAVEOLA,LUTEOLA,9.3,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,1.5 KM W SUMMIT MORNE BLEU,23,4,2001,F,"OVARY 2 X 1 MM, SMOOTH; OVIDUCT MINUTE, STRAIGHT",SKULL 5% OSS; BURSA 3 X 2 MM;,NO FAT,,51.0,29.0,13.8999996185,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
42637,COEREBA,FLAVEOLA,LUTEOLA,10.1,TRINIDAD & TOBAGO,TRINIDAD,ST. ANDREW CO.,Island,"ARIPO SAVANNAHS, 2 KM E CUMUTO",17,3,2002,M,"TESTES CREAM, LEFT 8 X 5 MM, RIGHT 6 X 4 MM",SKULL 100% OSS; NO BURSA,TRACE FAT,,57.0,34.0,13.6000003815,"IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY, SOLES YELLOWISH GRAY"
45866,COEREBA,FLAVEOLA,LUTEOLA,10.4,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,2 KM W MORNE BLEU,13,7,2007,F,"OVARY 4 X 2 MM, OVA MINUTE; OVIDUCT 1.5 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS,LIGHT FAT,,54.0,33.0,11.6000003815,"IRIS BROWN; BILL BLACK; TARSI & TOES GRAY, SOLES GRAYISH YELLOW"
45883,COEREBA,FLAVEOLA,LUTEOLA,11.0,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,16,7,2007,M,"TESTES PALE RED, 1.5 X 1.5 MM",HY; BURSA 3 X 2.5 MM; SKULL 5% OSS.,LIGHT FAT,,57.0,34.0,12.1999998093,IRIS DARK BROWN; BILL BLACK; TARSI & TOES SLATE
45892,COEREBA,FLAVEOLA,LUTEOLA,10.1,TRINIDAD & TOBAGO,TOBAGO,ST. JOHN CO.,Island,4.0 KM ENE BLOODY BAY RIVER BRIDGE,20,7,2007,F,"OVARY 5 X 4 MM, LARGEST OVUM 1 X 1 MM; OVIDUCT 3 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,TRACE FAT,,54.0,37.0,12.8000001907,"IRIS BROWN; BILL BLACK; TARSI & TOES GRAY, PADS ORANGE YELLOW"
45902,COEREBA,FLAVEOLA,LUTEOLA,9.45,TRINIDAD & TOBAGO,TOBAGO,ST. JOHN CO.,Island,4.0 KM ENE BLOODY BAY RIVER BRIDGE,20,7,2007,F,"OVARY 6 X 4 MM, OVA MINUTE; OVIDUCT 1.5 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,TRACE FAT,,56.0,35.0,13.8000001907,IRIS BROWN; BILL BLACK; TARSI & TOES GRAY
45916,COEREBA,FLAVEOLA,LUTEOLA,10.3,TRINIDAD & TOBAGO,TRINIDAD,ST. GEROGE CO.,Island,2.7 KM SW MORNE BLEU,26,7,2007,M,"TESTES CREAM, 3 X 2.5 MM","HY; BURSA 3 X 2 MM, SKULL 10% OSS.",LIGHT FAT,,54.5,33.5,12.3000001907,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
45919,COEREBA,FLAVEOLA,LUTEOLA,10.4,TRINIDAD & TOBAGO,TRINIDAD,ST. GEROGE CO.,Island,2.7 KM SW MORNE BLEU,26,7,2007,M,"TESTES CREAM, LEFT 2 X 2 MM, RIGHT 3 X 2 MM",HY; BURSA NOT FOUND; SKULL 5 % OSS.,LIGHT FAT,,56.0,35.0,13.3999996185,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
45927,COEREBA,FLAVEOLA,LUTEOLA,10.2,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,"ARIPO VALLEY, L'ORANGE ESTATE",28,7,2007,F,"OVARY 4 X 4 MM, OVA MINUTE; OVIDUCT 1.5 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,TRACE FAT,,56.0,33.5,13.6000003815,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
45977,COEREBA,FLAVEOLA,LUTEOLA,11.8,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,2 KM W MORNE BLEU,12,7,2007,M,"TESTES CREAM, 4 X 3 MM",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,62.0,38.0,14.0,IRIS BROWN; BILL BLACK; TARSI & TOES GRAY
45995,COEREBA,FLAVEOLA,LUTEOLA,9.9,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,17,7,2007,F,"OVARY 3 X 2 MM, SMOOTH; OVIDUCT < 1 MM WIDE, STRAIGHT",HY; BURSA 5 X 5 MM; SKULL 15% OSS.,LIGHT FAT,,54.0,30.0,14.0,"IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY, SOLES GRAYISH YELLOW"
46008,COEREBA,FLAVEOLA,LUTEOLA,10.2,TRINIDAD & TOBAGO,TOBAGO,ST. JOHN CO.,Island,4.0 KM ENE BLOODY BAY RIVER BRIDGE,20,7,2007,F,"OVARY 4 X 3 MM, OVA < 1 X 1 MM; OVIDUCT 2 MM WIDE, CONVOLUTED",NO BURSA,LIGHT FAT,,58.0,35.0,14.0,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
46023,COEREBA,FLAVEOLA,LUTEOLA,10.1,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,16,7,2007,F,"OVARY 3 X 2 MM, OVA MINUTE; OVIDUCT 2 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,54.0,32.0,13.0,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46026,COEREBA,FLAVEOLA,LUTEOLA,10.6,TRINIDAD & TOBAGO,TRINIDAD,ST. GEROGE CO.,Island,2.7 KM SW MORNE BLEU,26,7,2007,F,"OVARY 5 X 3 MM, OVA MINUTE; OVIDUCT 1 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,56.0,33.0,14.0,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
46028,COEREBA,FLAVEOLA,LUTEOLA,11.4,TRINIDAD & TOBAGO,TRINIDAD,ST. GEROGE CO.,Island,2.7 KM SW MORNE BLEU,26,7,2007,M,"TESTES CREAM, LEFT 5 X 4 MM, RIGHT 4 X 4 MM",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,63.0,39.0,15.0,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46369,COEREBA,FLAVEOLA,LUTEOLA,10.80,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,2 KM W MORNE BLEU,29,6,2008,F,"OVARY 4 X 3 MM, OVA MINUTE; OVIDUCT 2 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,TRACE FAT,,55.0,35.0,13.3000001907,IRIS BROWN; BILL DARK GRAY; TARSI & TOES BLUISH SLATE GRAY
46370,COEREBA,FLAVEOLA,LUTEOLA,11.95,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,2 KM W MORNE BLEU,29,6,2008,M,"TESTES CREAM, 1 X 1 MM",HY; BURSA 6 X 3 MM; SKULL 10% OSS.,TRACE FAT,,58.0,35.0,13.1000003815,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46390,COEREBA,FLAVEOLA,LUTEOLA,10.70,TRINIDAD & TOBAGO,TOBAGO,ST. JOHN CO.,Island,TOBAGO FOREST RESERVE,8,7,2008,M,"TESTES IVORY, LEFT 7 X 6 MM, RIGHT 6 X 5 MM",NO BURSA; SKULL 90% OSS.,TRACE FAT,,59.0,38.5,11.8999996185,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
46427,COEREBA,FLAVEOLA,LUTEOLA,10.25,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,2 KM W MORNE BLEU,29,6,2008,F,"OVARY 4 X 2 MM, OVA MINUTE; OVIDUCT 2 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,56.0,30.0,13.7299995422,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
46435,COEREBA,FLAVEOLA,LUTEOLA,10.45,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,5,7,2008,M,"TESTES CREAM, LEFT 9 X 5 MM, RIGHT 6 X 4 MM",NO BURSA; SKULL 100% OSS.,,,62.0,39.0,13.3000001907,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46436,COEREBA,FLAVEOLA,LUTEOLA,11.10,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,5,7,2008,M,"TESTES CREAM, 9 X 5MM",NO BURSA; SKULL 100% OSS.,TRACE FAT,,61.0,40.0,13.3800001144,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46439,COEREBA,FLAVEOLA,LUTEOLA,10.65,TRINIDAD & TOBAGO,TOBAGO,ST. PATRICK CO.,Island,CANOE BAY FOREST,6,7,2008,M,"TESTES CREAM, 7 X 4 MM",NO BURSA; SKULL 85% OSS.,TRACE FAT,,59.0,37.0,13.720000267,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46461,COEREBA,FLAVEOLA,LUTEOLA,11.15,TRINIDAD & TOBAGO,TRINIDAD,ST. GEROGE CO.,Island,2.7 KM SW MORNE BLEU,17,7,2008,M,"TESTES 5 X 4 MM, CREAM",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,60.0,35.0,12.7600002289,IRIS DARK BROWN; BILL DARK GRAY; TARSI & TOES GRAY
46511,COEREBA,FLAVEOLA,LUTEOLA,10.00,TRINIDAD & TOBAGO,TRINIDAD,ST. GEORGE CO.,Island,"ARIPO VALLEY, L'ORANGE ESTATE",18,7,2008,F,"OVARY 4 X 3 MM, SMOOTH; OVIDUCT MINUTE, STRAIGHT",BURSA NOT FOUND; SKULL 10% OSS.,LIGHT FAT,,49.0,31.0,12.0500001907,IRIS DARK BROWN; BILL DARK GRAY; TARSI & TOES GRAY
47340,COEREBA,FLAVEOLA,MAGNIROSTRIS,7.45,PERU,DEPTO. AMAZONAS,PROV. CHACHAPOYAS,Mainland,BALSAS,7,11,2009,M,"TESTES PALE OLIVE, 1.5 X 1.5 MM",NO BURSA; SKULL 10% OSS.,TRACE FAT,,56.0,32.0,14.3999996185,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
47367,COEREBA,FLAVEOLA,MAGNIROSTRIS,8.75,PERU,DEPTO. AMAZONAS,PROV. CHACHAPOYAS,Mainland,BALSAS,11,11,2009,M,"TESTES CREAM, 1 X 1/2 MM",HY; BURSA 4 X 2 MM; SKULL 5% OSS.,TRACE FAT,,58.0,35.5,13.8000001907,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
47381,COEREBA,FLAVEOLA,MAGNIROSTRIS,9.85,PERU,DEPTO. AMAZONAS,PROV. CHACHAPOYAS,Mainland,BALSAS,13,11,2009,M,"TESTES CREAM, 7 X 4 MM",NO BURSA; SKULL 100% OSS.,TRACE FAT,,60.0,39.0,15.0,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
49222,COEREBA,FLAVEOLA,MAGNIROSTRIS,9.43,PERU,DEPTO. CAJAMARCA,PROV. JAEN,Mainland,AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,17,10,2010,M,TESTES CREAM. LEFT 3 X 1 MM,NO BURSA; SKULL 100% OSS,TRACE FAT,,61.0,41.0,16.2099990845,IRIS DARK BROWN; BILL BLACK; GAPE PINK; TARSI & TOES GRAY
49226,COEREBA,FLAVEOLA,MAGNIROSTRIS,9.19,PERU,DEPTO. CAJAMARCA,PROV. JAEN,Mainland,AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,18,10,2010,F,"OVARY 4 X 2 MM, OVA MINUTE; OVIDUCT NOT FOUND",BURSA 3 X 2 MM,TRACE FAT,,56.0,33.0,14.8800001144,IRIS DARK BROWN; BILL BLACK; GAPE PINK; TARSI & TOES GRAY
49235,COEREBA,FLAVEOLA,MAGNIROSTRIS,8.73,PERU,DEPTO. CAJAMARCA,PROV. JAEN,Mainland,AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,21,10,2010,F,"OVARY 4 X 3 MM, LARGEST OVUM 1.5 X 1.5 MM; OVIDUCT 1 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,58.0,39.0,14.0,BILL BLACK; TARSI & TOES GRAY
49256,COEREBA,FLAVEOLA,MAGNIROSTRIS,11.06,PERU,DEPTO. CAJAMARCA,PROV. JAEN,Mainland,AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,14,10,2010,M,"TESTES CREAM, 4 X 4 MM",NO BURSA; SKULL 100% OSS,NO FAT,,61.0,44.0,15.2399997711,IRIS DARK BORWN; BILL BLACK; GAPE PINK; TARSI & TOES GRAY
9228,COEREBA,FLAVEOLA,MEXICANA,,GUATEMALA,,,Mainland,N/A,,,,U,,,,,,,,
5475,COEREBA,FLAVEOLA,MEXICANA,,MEXICO,OAXACA,,Mainland,LA COVA,13,7,1949,M,,,,,,,,
5476,COEREBA,FLAVEOLA,MEXICANA,,MEXICO,OAXACA,,Mainland,LA COVA,2,7,1949,F,,,,,,,,
5477,COEREBA,FLAVEOLA,MEXICANA,,MEXICO,OAXACA,,Mainland,LA COVA,25,7,1949,M,,,,,,,,
9227,COEREBA,FLAVEOLA,MEXICANA,,MEXICO,,,Mainland,MIRADOR,,,,U,,,,,,,,
46280,COEREBA,FLAVEOLA,MEXICANA,9.9,PANAMA,PROV. BOCAS DEL TORO,,Island,ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,9,4,2007,M,"TESTES CREAM, 7 X 4 MM",NO BURSA; SKULL 100% OSS.,TRACE FAT,,56.5,31.0,13.6999998093,IRIS DARK BROWN; BILL BLACK; TARSI & TOES DARK GRAY
46286,COEREBA,FLAVEOLA,MEXICANA,9.6,PANAMA,PROV. BOCAS DEL TORO,,Island,ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,8,4,2007,M,"TESTES PALE GRAY, 1 X 1 MM",HY; BURSA 3 X 2 MM; SKULL 10% OSS.,LIGHT FAT,,55.0,30.0,12.6000003815,IRIS DARK BROWN; BILL BLACK; TARSI & TOES  GRAY
46358,COEREBA,FLAVEOLA,MEXICANA,9.3,PANAMA,PROV. BOCAS DEL TORO,,Island,ISLA COLON; SMITHSONIAN TROPICAL RESEARCH INSTITUTE STATION,8,2,2008,F,"OVARY 11 X 6 MM, LARGEST OVA 5 X 5 (1) & 2 X 2 MM (2); OVIDUCT 5 MM WIDE, CONVOLUTED",NO BURSA; SKULL 100% OSS.,LIGHT FAT,,52.0,30.0,14.1999998093,IRIS DARK BROWN; BILL BLACK; TARSI & TOES GRAY
49413,COEREBA,FLAVEOLA,PACIFICA,8.8,PERU,DEPTO. PIURA,PROV. SULLANA,Mainland,"COTO DE CAZA EL ANGOLO, QUEBRADA HUABAL, 14 KM SE FERNANDEZ",18,10,2011,M,"TESTES 4 X 5 MM, CREAM",NO BURSA; SKULL 100% OSS.,NO FAT,,56.0,35.0,12.5200004578,"IRIS BROWN; BILL, TARSI, TOES BLACK"
9231,COEREBA,FLAVEOLA,PORTORICENSIS,,USA,Puerto Rico,,Island,N/A,,,,U,,,,,,,,
9232,COEREBA,FLAVEOLA,PORTORICENSIS,,USA,Puerto Rico,,Island,N/A,,,,U,,,,,,,,
30694,COEREBA,FLAVEOLA,PORTORICENSIS,9.1,USA,Puerto Rico,,Island,"AGUADILLA, BORINQUEN",22,6,1972,M,,,,,,,,
22243,COEREBA,FLAVEOLA,SHARPEI,,CAYMAN ISLANDS,GRAND CAYMAN,,Island,N/A,13,5,1965,M,TESTES 7 MM,ADULT ,,,,,,
36114,COEREBA,FLAVEOLA,SHARPEI,,CAYMAN ISLANDS,GRAND CAYMAN,,Island,N/A,16,12,1969,F,,ADULT ,,,,,,
36115,COEREBA,FLAVEOLA,SHARPEI,,CAYMAN ISLANDS,CAYMAN BRAC,,Island,BUCCANEER'S INN,8,8,1971,F,,IMMATURE ,,,,,,
